,title_id,title,start_year,rating,votes
114,tt6565702,X-Men: Dark Phoenix,2019,5.7,181796
115,tt10975092,X-Men: Dark Phoenix,2019,7.3,47
116,tt13624054,Dug Days,2021,8.1,3712
117,tt14728174,Cruella,2021,6.4,10
118,tt14848554,Cruella,2021,6.7,21
119,tt14752382,Cruella,2021,7.9,17
120,tt3228774,Cruella,2021,7.3,221894
121,tt0480242,Dan in Real Life,2007,6.8,102431
122,tt14993556,Disney Princess Remixed - An Ultimate Princess Celebration,2021,5.0,66
123,tt3438640,Marvel One-Shot: All Hail the King,2014,7.3,10853
124,tt0467110,Underdog,2007,4.7,21576
125,tt13049144,Life Below Zero: Next Generation,2020,5.1,225
126,tt0902280,Eragon,2006,4.7,466
127,tt0449010,Eragon,2006,5.1,126073
128,tt13891272,Growing Up Animal,2021,8.2,100
129,tt0476458,Fantastic Four,2005,5.3,1149
130,tt0120667,Fantastic Four,2005,5.7,326641
131,tt0120903,X-Men,2000,7.3,605823
132,tt1219444,X-Men,2000,6.3,27
133,tt10168312,What If...?,2021,7.4,101820
134,tt1482393,Beverly Hills Chihuahua 2,2011,4.2,3954
135,tt2224075,Beverly Hills Chihuahua 3: Viva La Fiesta!,2012,4.3,2075
136,tt0107614,Mrs. Doubtfire,1993,7.1,264631
137,tt15083978,Cesar Millan: Better Human Better Dog,2021,8.2,114
138,tt13932270,Built for Mars: The Perseverance Rover,2021,6.8,56
139,tt0356634,Garfield,2004,5.0,85716
140,tt0468483,Garfield,2004,5.9,43
141,tt11929804,Critter Fixers: Country Vets,2020,8.7,144
142,tt13262134,Mickey Mouse Funhouse,2021,4.9,148
143,tt14598810,Turning the Tables with Robin Roberts,2021,5.6,43
144,tt13161852,Shark vs. Surfer,2020,6.8,17
145,tt12820178,Shark vs. Whale,2020,5.3,32
146,tt11069436,Behind the Attraction,2021,7.7,779
147,tt11547014,Turner & Hooch,2021,6.5,3526
148,tt13130602,Secrets of the Bull Shark,2020,5.7,7
149,tt14811706,Shark Attack Files,2021,6.0,23
150,tt14811754,Shark Attack Investigation: The Paige Winter Story,2021,6.4,22
151,tt1389137,We Bought a Zoo,2011,7.1,142667
152,tt1934818,So Random!,2011,4.5,2387
153,tt0434215,Flicka,2006,6.0,7995
154,tt14811196,Orca vs. Great White,2021,5.3,77
155,tt14791580,Rogue Shark?,2021,6.9,33
156,tt12833014,Shark Beach with Chris Hemsworth,2021,6.6,289
157,tt14811278,Shark Gangs,2021,6.5,30
158,tt3097686,When Sharks Attack,2013,6.7,100
159,tt14760138,Breaking Bobby Bones,2021,7.1,54
160,tt8610082,Monsters at Work,2021,7.0,6576
161,tt0108037,The Sandlot,1993,7.8,89537
162,tt0418131,The Sandlot 2,2005,4.5,5381
163,tt0092513,Adventures in Babysitting,1987,6.9,43565
164,tt11875316,The Mysterious Benedict Society,2021,7.6,3727
165,tt11146690,Wolfgang,2021,6.9,377
166,tt13858416,Dino Ranch,2021,6.1,113
167,tt14830850,Luca,2021,7.9,1186
168,tt12801262,Luca,2021,7.4,151059
169,tt11317124,Luca,2020,8.3,6
170,tt14941050,Luca,2021,6.8,21
171,tt10214754,Luca,2020,7.0,214
172,tt14864632,Luca,2021,7.0,8
173,tt4191054,Strange Magic,2015,5.7,11105
174,tt3962100,Strange Magic,2015,7.3,358
175,tt0395699,The Pacifier,2005,5.6,93686
176,tt12372034,Zenimation,2020,7.4,426
177,tt15125758,Loki,2021,8.1,12
178,tt9140554,Loki,2021,8.2,285880
179,tt12098538,Loki,2020,7.4,56
180,tt15201914,Loki,2021,6.5,25
181,tt14402704,Loki,2021,7.9,451
182,tt14168012,Raya and the Last Dragon,2021,8.6,5
183,tt14294496,Raya and the Last Dragon,2021,7.2,22
184,tt5109280,Raya and the Last Dragon,2021,7.3,143572
185,tt14158982,Raya and the Last Dragon,2021,6.4,7
186,tt0485985,Red Tails,2012,5.9,35503
187,tt2360135,Red Tails,2012,7.9,56
188,tt14062858,Us Again,2021,7.8,6473
