,title_id,title,start_year,rating,votes
122,tt0120844,Star Trek: Insurrection,1998,6.4,74760
123,tt0253754,Star Trek: Nemesis,2002,6.4,78723
124,tt0079945,Star Trek: The Motion Picture,1979,6.4,89149
125,tt7053188,Station 19,2018,6.7,14121
126,tt0256415,Sweet Home Alabama,2002,6.2,112258
127,tt0428038,Sweet Land,2005,7.1,3939
128,tt0144096,The Extreme Adventures of Super Dave,2000,4.1,773
129,tt0457939,The Holiday,2006,6.9,281098
130,tt1392170,The Hunger Games,2012,7.2,900429
131,tt3116180,The Hunger Games,2012,6.0,7
132,tt2324161,The Hunger Games,2012,5.5,14
133,tt1951264,The Hunger Games: Catching Fire,2013,7.5,652768
134,tt0120746,The Mask of Zorro,1998,6.8,182057
135,tt0362359,The O.C.,2003,7.5,88029
136,tt0841032,The Perfect Holiday,2007,4.6,3119
137,tt0292506,The Recruit,2003,6.6,135470
138,tt0073629,The Rocky Horror Picture Show,1975,7.4,148236
139,tt0120053,The Saint,1997,6.2,67891
140,tt0076752,The Spy Who Loved Me,1977,7.0,107476
141,tt1111422,The Taking of Pelham 1 2 3,2009,6.4,195925
142,tt0094226,The Untouchables,1987,7.9,304294
143,tt0942062,The Village,2004,7.6,27
144,tt0368447,The Village,2004,6.6,258310
145,tt2276025,The Vow,2011,7.1,18
146,tt1606389,The Vow,2012,6.8,193002
147,tt0070791,Theater of Blood,1973,7.1,10954
148,tt3995162,Total Recall,2012,3.3,24
149,tt1386703,Total Recall,2012,6.2,252557
150,tt2247898,Total Recall,2012,6.8,80
151,tt6527272,Unforgettable,2017,7.6,1553
152,tt5615904,Unforgettable,2016,7.2,1412
153,tt3462710,Unforgettable,2017,5.1,15672
154,tt1976009,Victor Frankenstein,2015,5.9,56559
155,tt7237716,Victor Frankenstein,2015,7.6,7
156,tt0473308,Waitress,2007,7.0,46583
157,tt5528396,Within,2016,6.3,8
158,tt6290742,Wolves at the Door,2016,8.8,7
159,tt4670016,Wolves at the Door,2016,4.4,3911
160,tt0804555,Wrong Turn 2: Dead End,2007,5.4,41875
161,tt0397306,American Dad!,2005,7.4,125261
162,tt7194764,BuzzFeed Unsolved: True Crime,2016,8.8,1585
163,tt12680508,Minor Premise,2020,5.9,4079
164,tt7235466,9-1-1,2018,7.8,32107
165,tt11231280,Felix and the Hidden Treasure,2021,5.4,339
166,tt15489004,Wild Crime,2021,7.5,520
167,tt1561755,Bob's Burgers,2011,8.2,77504
168,tt0182576,Family Guy,1999,8.2,328650
