,title_id,title,start_year,rating,votes
119,tt9662820,Uncaged,2019,6.3,9
120,tt2579312,UnCabaret,2012,7.1,21
121,tt1194555,UFO Hunters,2008,6.7,86
122,tt1176951,UFO Hunters,2008,6.3,972
123,tt0433320,UFO Files,2004,6.8,303
124,tt0108410,Twenty Bucks,1993,6.3,3929
125,tt0450182,TV in Black: The First Fifty Years,2004,7.9,89
126,tt10196500,Turquoise Fever,2019,6.8,62
127,tt11510804,Turn of the Cheek,2020,7.5,37
128,tt0090213,Tuff Turf,1985,6.0,4972
129,tt4103600,Tudor Monastery Farm,2013,8.6,333
130,tt7907922,Truth Seekers,2020,7.0,12772
131,tt13361962,Truth Seekers,2020,7.5,19
132,tt6918124,Trust,2017,6.4,10
133,tt6752588,Trust,2017,8.2,13
134,tt5830240,Trust,2017,6.7,173
135,tt8543952,Trust,2018,8.6,12751
136,tt5664952,Trust,2018,7.5,6897
137,tt5541186,Trust,2018,6.7,106
138,tt8779022,Trust,2018,5.7,113
139,tt9165430,Trust,2018,7.9,263
140,tt13932972,Truly Texas Mexican,2021,6.4,53
141,tt0504453,True Colors,1990,7.1,192
142,tt0834236,True Colors,1990,7.4,31
143,tt0103125,True Colors,1991,6.3,5338
144,tt0098933,True Colors,1990,7.1,181
145,tt1262280,Tropic Thunder,2008,6.4,17
146,tt0942385,Tropic Thunder,2008,7.0,407312
147,tt0418604,Trois 3: The Escort,2004,4.8,451
148,tt0073820,Trilogy of Terror,1975,6.5,7337
149,tt4687464,Transpecos,2016,5.8,2755
150,tt7297156,Transmilitary,2018,5.8,163
151,tt2399722,Transit,2012,7.2,37
152,tt1059836,Transit,2012,5.7,11261
153,tt2291817,Transit,2012,5.3,28
154,tt7052494,Trading Paint,2019,4.4,1996
155,tt5750534,Tracktown,2016,5.7,459
156,tt0457505,Traci Townsend,2007,6.8,102
157,tt9139848,Tough Guy: The Bob Probert Story,2019,7.3,524
158,tt6468814,Touch Chesi Chudu,2018,4.7,1019
159,tt0255653,Tortilla Soup,2001,6.7,4892
160,tt1390354,Toradora!,2009,8.7,301
161,tt1279024,Toradora!,2008,8.0,14618
