,tconst,ordering,nconst,category,job,characters
40477137,tt6045466,6,nm0730422,writer,written for the screen by,\N
41291380,tt6390668,6,nm2675515,writer,screenplay,\N
41291381,tt6390668,7,nm1972905,writer,co-screenplay,\N
41291382,tt6390668,8,nm10152548,writer,"based on the book by: ""A Vida Invis铆vel de Eur铆dice Gusm茫o""",\N
41453256,tt6463320,6,nm4112021,writer,\N,\N
41654710,tt6543652,6,nm0323196,writer,screenplay,\N
41654711,tt6543652,7,nm2819873,writer,screenplay with the collaboration of,\N
42847852,tt7059844,6,nm0881418,writer,screenplay,\N
42847853,tt7059844,7,nm0795651,writer,dialogue,\N
42847854,tt7059844,8,nm3606561,writer,collaborating writer,\N
44538131,tt7721800,6,nm1758539,writer,original screenplay,\N
44538132,tt7721800,7,nm4313283,writer,written by,\N
45957176,tt8239946,8,nm3784276,writer,\N,\N
45957177,tt8239946,9,nm10304029,writer,inspired by the works of,\N
46318925,tt8368406,6,nm1167599,writer,written by,\N
46807118,tt8543952,10,nm5003154,writer,screenplay,\N
46807126,tt8543952,8,nm4697729,writer,manga,\N
46807127,tt8543952,9,nm1639992,writer,series composition,\N
47541334,tt8804580,6,nm5666772,writer,story by,\N
47541335,tt8804580,7,nm6497808,writer,story by,\N
48055611,tt8983164,6,nm3060331,writer,written by,\N
48055612,tt8983164,7,nm2748159,writer,written by,\N
48055613,tt8983164,8,nm5113220,writer,written by,\N
48055614,tt8983164,9,nm12117035,writer,additional screenplay & dialogue,\N
48589077,tt9176086,6,nm3451648,writer,dialogue by,\N
50442688,tt9805612,5,nm1193115,writer,created by,\N
50442689,tt9805612,6,nm7220895,writer,created by,\N
50721680,tt9906260,10,nm5003154,writer,script,\N
50721688,tt9906260,8,nm4697729,writer,head writer,\N
50721689,tt9906260,9,nm1639992,writer,composition,\N
623318,tt0073760,6,nm0568539,writer,written by,\N
623319,tt0073760,7,nm0344065,writer,written by,\N
635996,tt0075200,6,nm0846884,writer,screenplay,\N
