,title_id,title,type,num_type
12398,tt0286486,The Shield,"Crime, Drama, Mystery",3
12423,tt0368891,National Treasure,"Crime, Drama, International",3
12430,tt2226342,Devious Maids,Drama,1
12444,tt0410975,Desperate Housewives,Drama,1
12467,tt2705602,Atlantis,"Action, Adventure, Drama",3
12545,tt1582457,The Borgias,"Crime, Drama, History",3
12566,tt0974613,The Other Man,"Drama, Mystery, Thriller",3
12595,tt0103491,Melrose Place,"Drama, Romance",2
12599,tt0098948,Wings,"Classics, Comedy, Family",3
12633,tt0791205,Ergo Proxy,"Action, Adventure, Anime",3
12738,tt1772379,The Fades,"Horror, International, Science Fiction",3
12779,tt2720826,Birth of the Dragon,"Action & Adventure, Dramas",2
12781,tt0126158,He-Man and the Masters of the Universe,"Kids' TV, TV Sci-Fi & Fantasy",2
12797,tt1999167,Naruto Shippuden the Movie: Blood Prison,"Action & Adventure, Anime Features, International Movies",3
12853,tt8009744,Worth,Dramas,1
12886,tt0102065,House Party 2,"Comedies, Cult Movies, Music & Musicals",3
12902,tt0116996,Mars Attacks!,"Comedies, Cult Movies, Sci-Fi & Fantasy",3
12909,tt0181739,Osmosis Jones,"Action & Adventure, Children & Family Movies, Comedies",3
12956,tt0811066,Shootout at Lokhandwala,"Action & Adventure, Dramas, International Movies",3
12972,tt4779326,The Water Man,"Children & Family Movies, Dramas",2
13014,tt14252964,Gone for Good,"Crime TV Shows, International TV Shows, TV Dramas",3
13059,tt15036416,Shiny_Flakes: The Teenage Drug Lord,"Documentaries, International Movies",2
13077,tt0758745,Friday Night Lights,"TV Dramas, Teen TV Shows",2
13093,tt1878870,The Edge of Seventeen,"Comedies, Dramas",2
13137,tt6402468,Blood Red Sky,"Action & Adventure, Horror Movies, International Movies",3
13223,tt14832996,How to Become a Tyrant,Docuseries,1
13300,tt0118571,Air Force One,Action & Adventure,1
13302,tt0295178,Austin Powers in Goldmember,"Action & Adventure, Comedies",2
13478,tt9310336,Trese,"Anime Series, Crime TV Shows, TV Horror",3
13520,tt0185183,Battlefield Earth,"Action & Adventure, Cult Movies, Sci-Fi & Fantasy",3
13545,tt0462482,Population 436,"Horror Movies, Thrillers",2
