,title_id,title,type,num_type
4605,tt2308260,A Night in Old Mexico,"Action, Drama, Western",3
4788,tt8663516,Child's Play,Drama,1
4924,tt9805612,The Last Hour,"Drama, Suspense",2
4926,tt1764625,Tad: The Lost Explorer,"Adventure, Comedy, Kids",3
4995,tt1974419,The Neon Demon,"Horror, Suspense",2
4998,tt0100029,Lionheart,"Action, Adventure",2
5021,tt3780500,Journey's End,"Drama, Military and War",2
5055,tt10344410,Panic,"Drama, Young Adult Audience",2
5168,tt3404140,The Attorney,Drama,1
5172,tt0330843,Saathiya,"Drama, International, Romance",3
5210,tt2165735,Drug War,Action,1
5252,tt1182937,Rab Ne Bana Di Jodi,"Drama, International, Romance",3
5289,tt0461936,Don,"Action, Drama, International",3
5311,tt8368406,Vivarium,"Fantasy, Science Fiction, Suspense",3
5483,tt1821681,Touch,"Romance, Suspense",2
5647,tt9827834,Sylvie's Love,"Drama, Romance",2
5721,tt12882620,Evil Eye,"Drama, Horror",2
5772,tt11080108,The Map of Tiny Perfect Things,"Comedy, Romance, Young Adult Audience",3
5932,tt1592873,LOL,"Comedy, Drama",2
5934,tt0172684,Kuch Kuch Hota Hai,"Comedy, Drama, Music Videos and Concerts",3
5974,tt0098999,Agneepath,"Action, Drama",2
6046,tt10556338,The Pursuit of Love,"Drama, Historical, Romance",3
6066,tt8009744,Worth,"Drama, Special Interest, Suspense",3
6153,tt12411074,Paranormal,"Drama, Suspense",2
6167,tt2751074,Betrayal,Action,1
6208,tt0092632,The Believers,Suspense,1
6254,tt11794642,Big Sky,"Action, Drama, Suspense",3
6671,tt8089526,The Box,Suspense,1
6719,tt2844798,White God,"Drama, Horror",2
6734,tt3824412,Results,Comedy,1
6805,tt0397150,Garth Marenghi's Darkplace,Comedy,1
6867,tt4048668,Band of Robbers,"Action, Adventure, Comedy",3
6927,tt3326366,Whitey: United States of America v. James J. Bulger,"Documentary, Suspense",2
7054,tt0478087,21,"Drama, Suspense",2
7065,tt2338424,Tumbledown,Comedy,1
7069,tt4210080,The Confirmation,"Comedy, Drama",2
7109,tt0363276,Madhouse,"Horror, Suspense",2
7143,tt1265990,The Roommate,Suspense,1
7163,tt2323964,Mere Dad Ki Maruti,"Comedy, International",2
7188,tt1883180,A Pigeon Sat on a Branch Reflecting on Existence,"Comedy, Drama",2
7411,tt1185420,Dostana,"Comedy, International",2
7500,tt1483324,At Middleton,Comedy,1
7565,tt2106550,Möbius,"Drama, Suspense",2
7590,tt0096378,Vibes,"Action, Comedy",2
7707,tt1979918,Sinbad,"Action, Science Fiction",2
7791,tt11143108,Oh My Kadavule,"Romance, Science Fiction",2
7867,tt0245407,Crush,Comedy,1
7904,tt0484111,The Good Night,Comedy,1
7976,tt0072431,Young Frankenstein,Comedy,1
8077,tt0068805,The King of Marvin Gardens,Drama,1
8101,tt0462482,Population 436,"Horror, Suspense",2
8179,tt0068361,The Discreet Charm of the Bourgeoisie,"Comedy, Drama, Science Fiction",3
8209,tt0926063,Dance of the Dead,"Comedy, Horror",2
8264,tt0880648,Shuttle,"Drama, Horror, Suspense",3
8284,tt0457510,Nacho Libre,Comedy,1
8293,tt1929308,Magic Magic,"Horror, Suspense",2
8309,tt4647900,I Am Bolt,Documentary,1
8379,tt7183578,Project Gutenberg,"Action, Suspense",2
8587,tt1837562,A Royal Night Out,"Comedy, Drama",2
8732,tt1709143,The Last Days on Mars,"Horror, Science Fiction, Suspense",3
8771,tt1272886,Small Apartments,"Comedy, Drama",2
8982,tt6463320,Zana,Drama,1
9047,tt0263757,Uptown Girls,Comedy,1
9050,tt0105698,Universal Soldier,"Action, Science Fiction",2
9081,tt1412386,The Best Exotic Marigold Hotel,"Comedy, Drama, Romance",3
9094,tt0084732,Still of the Night,Drama,1
9118,tt0093822,Raising Arizona,Comedy,1
9191,tt0333766,Garden State,"Arthouse, Comedy, Drama",3
9247,tt0068284,Blacula,Horror,1
9278,tt1407084,Twelve,"Drama, Suspense",2
9352,tt8804580,Attack of the Unknown,"Action, Horror, Science Fiction",3
9368,tt5368542,The Exorcist,TV Shows,1
9568,tt9820352,Villain,"Comedy, Drama",2
9649,tt0116669,Jack,Comedy,1
9658,tt1846442,12 Dates of Christmas,"Drama, Romance",2
9659,tt0147800,10 Things I Hate About You,"Comedy, Drama, Romance",3
