,tconst,ordering,nconst,category,job,characters
1437156,tt0181739,10,nm0858554,producer,producer,\N
1437157,tt0181739,1,nm0000401,actor,\N,"[""Thrax""]"
1437158,tt0181739,2,nm0001674,actor,\N,"[""Osmosis Jones""]"
1437159,tt0181739,3,nm0001383,actor,\N,"[""Drix""]"
1437160,tt0181739,4,nm0005275,actress,\N,"[""Leah""]"
1437161,tt0181739,5,nm0125803,director,\N,\N
1437162,tt0181739,6,nm0268380,director,\N,\N
1437163,tt0181739,7,nm0405190,writer,written by,\N
1437164,tt0181739,8,nm0219550,producer,producer,\N
1437165,tt0181739,9,nm0672015,producer,producer,\N
1461845,tt0185183,10,nm0759627,producer,producer,\N
1461846,tt0185183,1,nm0000237,actor,\N,"[""Terl""]"
1461847,tt0185183,2,nm0001845,actor,\N,"[""Ker""]"
1461848,tt0185183,3,nm0001608,actor,\N,"[""Jonnie Goodboy Tyler""]"
1461849,tt0185183,4,nm0167649,actor,\N,"[""Carlo""]"
1461850,tt0185183,5,nm0002337,director,\N,\N
1461851,tt0185183,6,nm0541720,writer,screenplay,\N
1461852,tt0185183,7,nm0788526,writer,screenplay,\N
1461853,tt0185183,8,nm0399196,writer,novel,\N
1461854,tt0185183,9,nm0006790,producer,producer,\N
1498391,tt0190332,10,nm0398836,producer,producer,\N
1498392,tt0190332,1,nm0000334,actor,\N,"[""Master Li Mu Bai""]"
1498393,tt0190332,2,nm0000706,actress,\N,"[""Yu Shu Lien""]"
1498394,tt0190332,3,nm0955471,actress,\N,"[""Jen""]"
1498395,tt0190332,4,nm0151654,actor,\N,"[""Lo""]"
1498396,tt0190332,5,nm0000487,director,\N,\N
1498397,tt0190332,6,nm0910924,writer,screenplay by,\N
1498398,tt0190332,7,nm0770005,writer,screenplay by,\N
1498399,tt0190332,8,nm0874631,writer,screenplay by,\N
1498400,tt0190332,9,nm0238893,writer,based on the book by,\N
1984571,tt0266697,10,nm0849222,production_designer,\N,\N
1984572,tt0266697,1,nm0000235,actress,\N,"[""The Bride""]"
1984573,tt0266697,2,nm0001016,actor,\N,"[""Bill""]"
1984574,tt0266697,3,nm0000435,actress,\N,"[""Elle Driver""]"
1984575,tt0266697,4,nm0000514,actor,\N,"[""Budd""]"
1984576,tt0266697,5,nm0000233,director,\N,\N
1984577,tt0266697,6,nm0004744,producer,producer,\N
1984578,tt0266697,7,nm0753526,composer,\N,\N
1984579,tt0266697,8,nm0724744,cinematographer,director of photography,\N
1984580,tt0266697,9,nm0579673,editor,\N,\N
2175048,tt0295178,10,nm0865189,producer,producer,\N
2175049,tt0295178,1,nm0000196,actor,\N,"[""Austin Powers"",""Dr. Evil"",""Goldmember""]"
2175050,tt0295178,2,nm0461498,actress,\N,"[""Foxxy Cleopatra""]"
2175051,tt0295178,3,nm0001293,actor,\N,"[""Scott Evil""]"
2175052,tt0295178,4,nm0001868,actor,\N,"[""Basil Exposition""]"
2175053,tt0295178,5,nm0005366,director,\N,\N
2175054,tt0295178,6,nm0567112,writer,written by,\N
2175055,tt0295178,7,nm0529092,producer,producer,\N
2175056,tt0295178,8,nm0572805,producer,producer,\N
2175057,tt0295178,9,nm0000193,producer,producer,\N
2515239,tt0347436,10,nm0824504,editor,\N,\N
2515240,tt0347436,1,nm0000704,actor,\N,"[""Frodo Baggins""]"
2515241,tt0347436,2,nm0001557,actor,\N,"[""Aragorn""]"
2515242,tt0347436,3,nm0005212,actor,\N,"[""Gandalf""]"
2515243,tt0347436,4,nm0089217,actor,\N,"[""Legolas""]"
2515244,tt0347436,5,nm0101991,writer,screenplay,\N
2515245,tt0347436,6,nm1622375,writer,adaptation,\N
2515246,tt0347436,7,nm0866058,writer,novel,\N
2515247,tt0347436,8,nm2348467,producer,producer,\N
2515248,tt0347436,9,nm1852188,producer,producer,\N
2652743,tt0369436,10,nm0053388,producer,producer,\N
2652744,tt0369436,1,nm0000702,actress,\N,"[""Kate""]"
2652745,tt0369436,2,nm0000681,actor,\N,"[""Brad""]"
2652746,tt0369436,3,nm0005460,actress,\N,"[""Marilyn""]"
2652747,tt0369436,4,nm0000380,actor,\N,"[""Howard""]"
2652748,tt0369436,5,nm1164861,director,\N,\N
2652749,tt0369436,6,nm0020820,writer,screenplay,\N
2652750,tt0369436,7,nm0933128,writer,screenplay,\N
2652751,tt0369436,8,nm0524190,writer,screenplay,\N
2652752,tt0369436,9,nm0601859,writer,screenplay,\N
