title_id,title,start_year,rating,votes
tt8543952,Trust,2018,8.6,12751
tt10556338,The Pursuit of Love,2021,6.7,4396
tt2308260,A Night in Old Mexico,2013,5.7,3717
tt1846442,12 Dates of Christmas,2011,6.2,6765
tt0084732,Still of the Night,1982,6.0,5071
tt0880648,Shuttle,2008,5.6,5793
tt5542802,Raabta,2017,4.7,7851
tt1272886,Small Apartments,2012,6.1,7855
tt8804580,Attack of the Unknown,2020,4.5,6422
tt5186714,The Salesman,2016,7.7,59853
tt7721800,Bharat,2019,4.7,30761
tt1285309,The Joneses,2009,6.4,40262
tt1265990,The Roommate,2011,4.8,38503
tt0100046,The Long Walk Home,1990,7.3,4041
tt0185102,Queer as Folk,1999,8.2,6778
tt9176086,Saina,2021,4.3,4083
tt1182937,Rab Ne Bana Di Jodi,2008,7.2,47591
tt1979918,Sinbad,2012,6.2,3669
tt0397150,Garth Marenghi's Darkplace,2004,8.5,18076
tt1833116,The Informer,2019,6.6,34244
tt4048668,Band of Robbers,2015,6.0,4284
tt1483324,At Middleton,2013,6.5,8460
tt6107548,Late Night,2019,6.5,36867
tt2844798,White God,2014,6.9,16236
tt9906260,Hero,2019,9.9,92445
tt1596786,American Pickers,2010,7.0,7713
tt2577192,Howards End,2017,7.2,5595
tt10344410,Panic,2021,6.5,7933
tt0068284,Blacula,1972,5.7,6731
tt1709143,The Last Days on Mars,2013,5.5,36970
tt7059844,Dabangg 3,2019,3.0,18710
tt3435532,Gracepoint,2014,7.0,6278
tt2338424,Tumbledown,2015,6.2,7394
tt6045466,Madame,2017,6.1,7642
tt1837562,A Royal Night Out,2015,6.5,10140
tt0363276,Madhouse,2004,5.4,6642
tt0926063,Dance of the Dead,2008,5.8,11659
tt5179598,Billionaire Boys Club,2018,5.6,13027
tt0093822,Raising Arizona,1987,7.3,137546
tt0096378,Vibes,1988,5.7,4436
tt5368542,The Exorcist,2016,7.9,28242
tt1929308,Magic Magic,2013,5.0,9879
tt1974419,The Neon Demon,2016,6.1,93834
tt9827834,Sylvie's Love,2020,6.8,5752
tt0457510,Nacho Libre,2006,5.8,87081
tt3326366,Whitey: United States of America v. James J. Bulger,2014,6.7,3005
tt2751074,Betrayal,2013,6.9,4355
tt3780500,Journey's End,2017,6.7,9783
tt1412386,The Best Exotic Marigold Hotel,2011,7.2,94810
tt2165735,Drug War,2012,7.0,10144
tt2391224,The Paradise,2012,7.7,11704
tt9824114,Original Gangster,2020,5.9,7764
tt1883180,A Pigeon Sat on a Branch Reflecting on Existence,2014,6.9,18292
tt0068805,The King of Marvin Gardens,1972,6.5,5499
tt1764625,Tad: The Lost Explorer,2012,5.9,8112
tt0263757,Uptown Girls,2003,6.1,38447
tt10174244,Afsos,2020,7.5,3101
tt0269483,Lone Star State of Mind,2002,6.0,3080
tt11080108,The Map of Tiny Perfect Things,2021,6.8,21360
tt0120710,In Dreams,1999,5.5,13042
tt5700176,Dark River,2017,5.8,3927
tt0068575,Fat City,1972,7.2,9079
tt2106550,Möbius,2013,6.1,5547
tt0116059,Dear God,1996,5.4,4004
tt0116671,Jack Frost,1997,4.6,9311
tt7183578,Project Gutenberg,2018,6.8,4479
tt0092632,The Believers,1987,6.0,7088
tt1158939,Never Grow Old,2019,5.9,3931
tt0080436,Battle Creek Brawl,1980,5.7,5353
tt1032856,The Band's Visit,2007,7.5,13517
tt6390668,Invisible Life,2019,7.7,8115
tt9805612,The Last Hour,2021,7.2,6254
tt1407084,Twelve,2010,5.6,12259
tt12882620,Evil Eye,2020,4.8,3601
tt2323964,Mere Dad Ki Maruti,2013,6.4,4741
tt6543652,Cold War,2018,7.5,56006
tt0105698,Universal Soldier,1992,6.0,88908
tt0829176,Gallowwalkers,2012,3.5,7707
tt0100029,Lionheart,1990,6.2,36171
tt0333766,Garden State,2004,7.4,215439
tt0461936,Don,2006,7.1,36994
tt0072431,Young Frankenstein,1974,8.0,156064
tt0910905,In the Electric Mist,2009,6.1,18504
tt0068361,The Discreet Charm of the Bourgeoisie,1972,7.8,42558
tt1185420,Dostana,2008,6.5,15024
tt0245407,Crush,2001,5.7,3815
tt8983164,Chhalaang,2020,6.8,19138
tt0330843,Saathiya,2002,6.8,7050
tt8368406,Vivarium,2019,5.8,55458
tt2417650,30 Nights of Paranormal Activity with the Devil Inside the Girl with the Dragon Tattoo,2013,2.5,3776
tt0484111,The Good Night,2007,5.7,8521
tt1656177,Most Wanted,2020,6.2,4823
tt4647900,I Am Bolt,2016,7.0,3446
tt0093036,Flowers in the Attic,1987,5.7,10197
tt6463320,Zana,2019,7.2,4666
tt8239946,Tumbbad,2018,8.2,42150
tt1592873,LOL,2012,4.3,55910
tt3404140,The Attorney,2013,7.7,6441
tt0078087,Piranha,1978,5.9,21552
tt11143108,Oh My Kadavule,2020,8.1,3933
tt4903242,The Detour,2016,7.7,6911
tt1582457,The Borgias,2011,7.9,50872
tt0338096,Dirty Dancing: Havana Nights,2004,5.9,28105
tt6548228,Castle Rock,2018,7.5,44581
tt0239195,Survivor,2000,7.4,24525
tt0368530,One Tree Hill,2003,7.7,78862
tt7018644,Grown-ish,2018,6.3,5443
tt4307902,The Carmichael Show,2015,7.6,3073
tt7616148,Luce,2019,6.6,12973
tt2660806,Mom,2013,7.3,34418
tt0145487,Spider-Man,2002,7.4,797675
tt5583512,Cardinal,2017,7.7,9610
tt5462326,Mom and Dad,2017,5.5,23713
tt0758745,Friday Night Lights,2006,8.7,64741
tt1575539,Elena Undone,2010,6.0,5977
tt1865718,Gravity Falls,2012,8.9,98858
tt7589524,Aniara,2018,6.2,8958
tt4329810,QT8: The First Eight,2019,7.3,4024
tt2705602,Atlantis,2013,6.5,11584
tt2654620,The Strain,2014,7.3,80214
tt2586120,Racer and the Jailbird,2017,6.3,4976
tt2211129,The Mindy Project,2012,7.4,31582
tt2235759,The Great,2020,8.2,39527
tt1778304,Paranormal Activity 3,2011,5.8,94454
tt2094064,Much Ado About Nothing,2012,7.0,16673
tt5093026,Papillon,2017,7.2,73268
tt0410975,Desperate Housewives,2004,7.6,126362
tt3741634,Tokyo Ghoul,2014,7.8,50106
tt2226342,Devious Maids,2013,7.8,23813
tt6220752,Pledge,2018,5.4,3481
tt0490668,My Little Pony: The Princess Promenade,2006,7.5,4765
tt1910272,Steins;Gate,2011,8.8,58639
tt1853739,You're Next,2011,6.5,97599
tt5056196,Catch-22,2019,7.7,17549
tt3859272,Tragedy Girls,2017,6.0,10167
tt1583421,G.I. Joe: Retaliation,2013,5.7,180845
tt0098948,Wings,1990,7.3,12752
tt1694020,The Guilt Trip,2012,5.8,37246
tt2802850,Fargo,2014,8.9,363426
tt7078658,The Day Shall Come,2019,5.8,3838
tt0808151,Angels & Demons,2009,6.7,289828
tt6842770,Wild Mountain Thyme,2020,5.6,8417
tt1213012,Alpha and Omega,2010,5.1,14326
tt0791205,Ergo Proxy,2006,7.9,14032
tt11794642,Big Sky,2020,6.8,17316
tt3316796,Alone,2014,7.9,10430
tt0119008,Donnie Brasco,1997,7.7,302125
tt0286486,The Shield,2002,8.7,79380
tt6304046,Thelma,2017,7.0,31561
tt0103491,Melrose Place,1992,5.9,12146
tt0082782,My Bloody Valentine,1981,6.2,21526
tt6205872,Assassination Nation,2018,6.0,19002
tt1785123,Storage Wars,2010,6.3,9695
tt6450804,Terminator: Dark Fate,2019,6.2,172572
tt8663516,Child's Play,2019,5.7,51015
tt0435961,Gungrave,2003,7.9,4877
tt0110216,Junior,1994,4.7,68748
tt0126158,He-Man and the Masters of the Universe,1983,7.5,18446
tt7703924,Infamous,2020,4.2,3019
tt0096542,Baywatch,1989,5.4,27614
