,tconst,ordering,nconst,category,job,characters
809420,tt0094739,6,nm0682752,writer,written by,\N
809421,tt0094739,7,nm0747822,writer,written by,\N
809422,tt0094739,8,nm0679017,producer,producer,\N
809423,tt0094739,9,nm0005494,producer,producer,\N
824443,tt0096438,10,nm5927608,writer,"character: Huey, Dewey, and Louie Duck",\N
824444,tt0096438,1,nm0001364,actor,\N,"[""Eddie Valiant""]"
824445,tt0096438,2,nm0000502,actor,\N,"[""Judge Doom""]"
824446,tt0096438,3,nm0001026,actress,\N,"[""Dolores""]"
824447,tt0096438,4,nm0281486,actor,\N,"[""Roger Rabbit"",""Benny the Cab"",""Greasy""]"
824448,tt0096438,5,nm0000709,director,\N,\N
824449,tt0096438,6,nm0937757,writer,"novel ""Who Censored Roger Rabbit?""",\N
824450,tt0096438,7,nm0696949,writer,screenplay,\N
824451,tt0096438,8,nm0780620,writer,screenplay,\N
824452,tt0096438,9,nm5927607,writer,"character: Huey, Dewey, and Louie Duck",\N
836072,tt0097757,10,nm3071117,writer,additional dialogue,\N
836073,tt0097757,1,nm0072533,actress,\N,"[""Ariel""]"
836074,tt0097757,2,nm0942787,actor,\N,"[""Sebastian""]"
836075,tt0097757,3,nm0041281,actor,\N,"[""Louis""]"
836076,tt0097757,4,nm0055549,actor,\N,"[""Eric""]"
836077,tt0097757,5,nm0166256,director,\N,\N
836078,tt0097757,6,nm0615780,director,\N,\N
836079,tt0097757,7,nm0026153,writer,based on the fairy tale by,\N
836080,tt0097757,8,nm0039141,writer,additional dialogue,\N
836081,tt0097757,9,nm0334057,writer,additional dialogue,\N
865014,tt0101076,10,nm0384162,actress,\N,"[""Tank Muddlefoot""]"
865015,tt0101076,1,nm0191906,actor,\N,"[""Darkwing Duck"",""Drake Mallard"",""Herb Muddlefoot""]"
865016,tt0101076,2,nm0569598,actor,\N,"[""Launchpad McQuack"",""Gumball"",""Launchpad""]"
865017,tt0101076,3,nm0004815,actress,\N,"[""Gosalyn Waddlemeyer-Mallard"",""Gosalyn Waddlemeyer"",""Girl""]"
865018,tt0101076,4,nm0500246,actress,\N,"[""Honker Muddlefoot"",""Additional Voices"",""Honkulon""]"
865019,tt0101076,5,nm0866214,actress,\N,"[""Binkie Muddlefoot"",""Additional Voices"",""Aunt Trudy""]"
865020,tt0101076,6,nm0144657,actor,\N,"[""Megavolt"",""Elmo Sputterspark"",""Loudspeaker Announcer""]"
865021,tt0101076,7,nm0919798,actor,\N,"[""Eek"",""Squeak"",""Archie""]"
865022,tt0101076,8,nm0542706,actor,\N,"[""J. Gander Hooter"",""Additional Voices"",""Additional voices""]"
865023,tt0101076,9,nm0409361,actor,\N,"[""Dr. Reginald Bushroot"",""Costumer with dentures"",""Crosby""]"
894051,tt0104431,10,nm0893079,production_designer,\N,\N
894052,tt0104431,1,nm0000346,actor,\N,"[""Kevin""]"
894053,tt0104431,2,nm0000582,actor,\N,"[""Harry""]"
894054,tt0104431,3,nm0827663,actor,\N,"[""Marv""]"
894055,tt0104431,4,nm0001573,actress,\N,"[""Kate""]"
894056,tt0104431,5,nm0001060,director,\N,\N
894057,tt0104431,6,nm0000455,writer,characters,\N
894058,tt0104431,7,nm0002354,composer,\N,\N
894059,tt0104431,8,nm0531310,cinematographer,director of photography,\N
894060,tt0104431,9,nm0331532,editor,\N,\N
894097,tt0104437,10,nm0248054,writer,screenplay,\N
894098,tt0104437,1,nm0001548,actor,\N,"[""Wayne""]"
894099,tt0104437,2,nm0833519,actress,\N,"[""Diane""]"
894100,tt0104437,3,nm0647084,actor,\N,"[""Nick""]"
894101,tt0104437,4,nm0787741,actor,\N,"[""Adam""]"
894102,tt0104437,5,nm0459170,director,\N,\N
894103,tt0104437,6,nm0002340,writer,characters,\N
894104,tt0104437,7,nm0951206,writer,characters,\N
894105,tt0104437,8,nm0619547,writer,characters,\N
894106,tt0104437,9,nm0329340,writer,story,\N
902418,tt0105417,10,nm0357023,editor,\N,\N
902419,tt0105417,1,nm0000155,actress,\N,"[""Deloris""]"
902420,tt0105417,2,nm0001749,actress,\N,"[""Mother Superior""]"
902421,tt0105417,3,nm0001562,actress,\N,"[""Mary Patrick""]"
902422,tt0105417,4,nm0538655,actress,\N,"[""Mary Robert""]"
902423,tt0105417,5,nm0001915,director,\N,\N
902424,tt0105417,6,nm0397411,writer,written by,\N
902425,tt0105417,7,nm0777462,producer,producer,\N
902426,tt0105417,8,nm0003299,composer,\N,\N
902427,tt0105417,9,nm0004229,cinematographer,\N,\N
907050,tt0105958,10,nm0725864,actress,\N,"[""Morgan Matthews"",""Aggressive Actress""]"
907051,tt0105958,1,nm0005399,actor,\N,"[""Cory Matthews"",""Ben Sandwich"",""Rory""]"
907052,tt0105958,2,nm0835045,actor,\N,"[""Shawn Hunter"",""Isaac 'Goodshot' Kelly"",""Schneider""]"
907053,tt0105958,3,nm0200122,actor,\N,"[""George Feeny"",""Captain Feeny"",""Fez-head""]"
907054,tt0105958,4,nm0709808,actress,\N,"[""Amy Matthews"",""Ella Fitzgerald-Kennedy"",""Natasha""]"
907055,tt0105958,5,nm0414551,writer,created by,\N
907056,tt0105958,6,nm0446190,writer,created by,\N
907057,tt0105958,7,nm0295115,actor,\N,"[""Eric Matthews"",""Gumshoe"",""Self""]"
907058,tt0105958,8,nm0750916,actor,\N,"[""Alan Matthews"",""Boris"",""Costello""]"
907059,tt0105958,9,nm0004918,actress,\N,"[""Topanga Lawrence"",""Topanga Matthews"",""Trixie""]"
912714,tt0106611,10,nm0824406,producer,producer,\N
912715,tt0106611,1,nm0001006,actor,\N,"[""Irv""]"
912716,tt0106611,2,nm0502442,actor,\N,"[""Derice Bannock""]"
912717,tt0106611,3,nm0234791,actor,\N,"[""Sanka Coffie""]"
912718,tt0106611,4,nm0507644,actor,\N,"[""Junior Bevil""]"
912719,tt0106611,5,nm0005509,director,\N,\N
912720,tt0106611,6,nm0796848,writer,story,\N
912721,tt0106611,7,nm0006916,writer,story,\N
912722,tt0106611,8,nm0842476,writer,screenplay,\N
912723,tt0106611,9,nm0325271,writer,screenplay,\N
917027,tt0107120,10,nm0002201,composer,\N,\N
917028,tt0107120,1,nm0000541,actress,\N,"[""Winifred""]"
917029,tt0107120,2,nm0000572,actress,\N,"[""Sarah""]"
917030,tt0107120,3,nm0001562,actress,\N,"[""Mary""]"
917031,tt0107120,4,nm0441814,actor,\N,"[""Max""]"
917032,tt0107120,5,nm0650905,director,\N,\N
917033,tt0107120,6,nm0456946,writer,story,\N
917034,tt0107120,7,nm0308376,writer,story,\N
917035,tt0107120,8,nm0193854,writer,screenplay,\N
917036,tt0107120,9,nm0353187,producer,producer,\N
917111,tt0107131,10,nm0506410,producer,producer,\N
917112,tt0107131,1,nm0000150,actor,\N,"[""Chance""]"
917113,tt0107131,2,nm0000398,actress,\N,"[""Sassy""]"
917114,tt0107131,3,nm0017519,actor,\N,"[""Molly's Father""]"
917115,tt0107131,4,nm0076204,actor,\N,"[""Desk Sergeant""]"
917116,tt0107131,5,nm0242271,director,\N,\N
917117,tt0107131,6,nm0122484,writer,"novel ""The Incredible Journey""",\N
917118,tt0107131,7,nm0003031,writer,screenplay,\N
917119,tt0107131,8,nm0941314,writer,screenplay,\N
917120,tt0107131,9,nm0155942,producer,producer,\N
937372,tt0109520,10,nm0410419,cinematographer,director of photography,\N
937373,tt0109520,1,nm0000389,actor,\N,"[""Gordon Bombay""]"
937374,tt0109520,2,nm0002062,actress,\N,"[""Michele""]"
937375,tt0109520,3,nm0875951,actor,\N,"[""Tibbles""]"
937376,tt0109520,4,nm0747962,actor,\N,"[""Jan""]"
937377,tt0109520,5,nm0918873,director,\N,\N
937378,tt0109520,6,nm0109359,writer,characters,\N
937379,tt0109520,7,nm0000816,producer,producer,\N
937380,tt0109520,8,nm0449549,producer,producer,\N
937381,tt0109520,9,nm0002370,composer,\N,\N
953485,tt0111419,10,nm0743919,composer,\N,\N
953486,tt0111419,1,nm0072533,actress,\N,"[""Thumbelina""]"
953487,tt0111419,2,nm0408189,actor,\N,"[""Prince Cornelius""]"
953488,tt0111419,3,nm0174581,actor,\N,"[""Jacquimo""]"
953489,tt0111419,4,nm0176904,actress,\N,"[""Mother""]"
953490,tt0111419,5,nm0089940,director,\N,\N
953491,tt0111419,6,nm0325776,director,\N,\N
953492,tt0111419,7,nm0026153,writer,original classic fairytale,\N
953493,tt0111419,8,nm0690112,producer,producer,\N
953494,tt0111419,9,nm0005180,composer,\N,\N
962578,tt0112499,10,nm0757136,production_designer,\N,\N
962579,tt0112499,1,nm0000430,actor,\N,"[""Sheriff Tom Palmer""]"
962580,tt0112499,2,nm0001882,actress,\N,"[""Miss Anna Montgomery""]"
962581,tt0112499,3,nm0761587,actor,\N,"[""Coach Jay Huffer""]"
962582,tt0112499,4,nm0856012,actor,\N,"[""Edwin V. Douglas""]"
962583,tt0112499,5,nm0805965,director,\N,\N
962584,tt0112499,6,nm0083696,producer,producer,\N
962585,tt0112499,7,nm0006055,composer,\N,\N
962586,tt0112499,8,nm0005659,cinematographer,director of photography,\N
962587,tt0112499,9,nm0511219,editor,\N,\N
968422,tt0113198,10,nm0233233,writer,additional written material,\N
968423,tt0113198,1,nm0267724,actor,\N,"[""Goofy""]"
968424,tt0113198,2,nm0005189,actor,\N,"[""Max Goof""]"
968425,tt0113198,3,nm0191906,actor,\N,"[""Pete""]"
968426,tt0113198,4,nm0005192,actress,\N,"[""Roxanne""]"
968427,tt0113198,5,nm0510674,director,\N,\N
968428,tt0113198,6,nm0536440,writer,story by,\N
968429,tt0113198,7,nm0558533,writer,screenplay by,\N
968430,tt0113198,8,nm0683724,writer,screenplay by,\N
968431,tt0113198,9,nm0035664,writer,additional written material,\N
973713,tt0113862,10,nm0004383,composer,\N,\N
973714,tt0113862,1,nm0000377,actor,\N,"[""Glenn Holland""]"
973715,tt0113862,2,nm0000444,actress,\N,"[""Iris Holland""]"
973716,tt0113862,3,nm0858988,actor,\N,"[""Bill Meister""]"
973717,tt0113862,4,nm0001156,actress,\N,"[""Principal Jacobs""]"
973718,tt0113862,5,nm0378893,director,\N,\N
973719,tt0113862,6,nm0242059,writer,written by,\N
973720,tt0113862,7,nm0181202,producer,producer,\N
973721,tt0113862,8,nm0276059,producer,producer,\N
973722,tt0113862,9,nm0634445,producer,producer,\N
975289,tt0114048,10,nm0618558,producer,producer,\N
975290,tt0114048,1,nm0000418,actor,\N,"[""Capt. Sam Cahill""]"
975291,tt0114048,2,nm0000501,actor,\N,"[""Capt. T.C. Doyle""]"
975292,tt0114048,3,nm0001459,actor,\N,"[""Lt. David Poole""]"
975293,tt0114048,4,nm0234791,actor,\N,"[""SP4 Harvey (H.A.) Ashford""]"
975294,tt0114048,5,nm0934578,director,\N,\N
975295,tt0114048,6,nm0606611,writer,story,\N
975296,tt0114048,7,nm0704164,writer,written by,\N
975297,tt0114048,8,nm0467942,writer,written by,\N
975298,tt0114048,9,nm0534574,producer,producer,\N
980743,tt0114709,10,nm0169505,writer,screenplay by,\N
980744,tt0114709,1,nm0000158,actor,\N,"[""Woody""]"
980745,tt0114709,2,nm0000741,actor,\N,"[""Buzz Lightyear""]"
980746,tt0114709,3,nm0725543,actor,\N,"[""Mr. Potato Head""]"
980747,tt0114709,4,nm0001815,actor,\N,"[""Slinky Dog""]"
980748,tt0114709,5,nm0005124,director,\N,\N
980749,tt0114709,6,nm0230032,writer,original story by,\N
980750,tt0114709,7,nm0004056,writer,original story by,\N
980751,tt0114709,8,nm0710020,writer,original story by,\N
980752,tt0114709,9,nm0923736,writer,screenplay by,\N
982469,tt0114924,10,nm0006055,composer,\N,\N
982470,tt0114924,1,nm0000113,actress,\N,"[""Lucy""]"
982471,tt0114924,2,nm0000597,actor,\N,"[""Jack""]"
982472,tt0114924,3,nm0001251,actor,\N,"[""Peter""]"
982473,tt0114924,4,nm0001967,actor,\N,"[""Ox""]"
982474,tt0114924,5,nm0005509,director,\N,\N
982475,tt0114924,6,nm0838015,writer,written by,\N
982476,tt0114924,7,nm0495863,writer,written by,\N
982477,tt0114924,8,nm0083696,producer,producer,\N
982478,tt0114924,9,nm0005387,producer,producer,\N
997138,tt0116669,10,nm0004383,composer,\N,\N
997139,tt0116669,1,nm0000245,actor,\N,"[""Jack Powell""]"
997140,tt0116669,2,nm0000178,actress,\N,"[""Karen Powell""]"
997141,tt0116669,3,nm0450116,actor,\N,"[""Brian Powell""]"
997142,tt0116669,4,nm0000182,actress,\N,"[""Miss Marquez""]"
997143,tt0116669,5,nm0000338,director,\N,\N
997144,tt0116669,6,nm0218621,writer,written by,\N
997145,tt0116669,7,nm0618800,writer,written by,\N
997146,tt0116669,8,nm0297209,producer,producer,\N
997147,tt0116669,9,nm0582338,producer,producer,\N
1013482,tt0118617,10,nm0925276,writer,screenplay by,\N
1013483,tt0118617,1,nm0000212,actress,\N,"[""Anastasia""]"
1013484,tt0118617,2,nm0000131,actor,\N,"[""Dimitri""]"
1013485,tt0118617,3,nm0000502,actor,\N,"[""Rasputin""]"
1013486,tt0118617,4,nm0001288,actor,\N,"[""Vladimir""]"
