title_id,country_id
tt9906260,C8
tt8983164,C8
tt7721800,C8
tt8239946,C8
tt8239946,C3
tt5186714,C66
tt5186714,C2
tt1158939,C53
tt1158939,C5
tt1158939,C2
tt1158939,C56
tt1158939,C9
tt5542802,C8
tt9176086,C8
tt6107548,C0
tt1974419,C0
tt1974419,C5
tt1974419,C37
tt1974419,C2
tt0330843,C8
tt1182937,C8
tt9827834,C0
tt12882620,C0
tt11080108,C0
tt1592873,C0
tt0172684,C8
tt2323964,C8
tt1185420,C8
tt1185420,C11
tt6463320,C67
tt6463320,C127
tt6463320,C11
tt6463320,C142
tt0072562,C0
tt11794642,C0
tt2660806,C0
tt4419214,C0
tt0082782,C31
tt0094006,C0
tt2118624,C0
tt2118624,C42
tt7018644,C0
tt5093026,C0
tt5093026,C64
tt5093026,C33
tt3316796,C0
tt1191056,C0
tt7242816,C0
tt7242816,C10
tt1341188,C0
tt3200980,C0
tt4536768,C13
tt0808151,C0
tt0808151,C16
tt2252938,C0
tt2252938,C42
tt2252938,C48
tt1411598,C0
tt6470478,C0
tt2861424,C0
tt1596786,C0
tt1785123,C0
tt2802850,C0
tt0462499,C41
tt0462499,C11
tt0462499,C73
tt1575539,C0
tt5111874,C7
tt8663516,C31
tt8663516,C11
tt0338096,C0
tt1865718,C0
tt2235759,C7
tt2235759,C10
tt1778304,C0
tt9418572,C0
tt4574736,C32
tt3114390,C32
tt7078658,C7
tt7078658,C11
tt1489887,C0
tt6548228,C0
tt7589524,C75
tt7589524,C37
tt7589524,C11
tt6301452,C7
tt6768578,C23
tt6768578,C2
tt6769280,C0
tt0096542,C0
tt7545524,C0
tt5056196,C0
tt6220752,C0
tt5583512,C31
tt6205872,C0
tt6205872,C42
tt1528406,C32
tt2586120,C61
tt2586120,C2
tt2586120,C68
tt0147800,C0
tt1441109,C0
tt3544734,C31
tt3544734,C11
tt4047038,C0
tt2654620,C0
tt2654620,C42
tt2654620,C26
tt3859272,C0
tt6304046,C52
tt6304046,C2
tt6304046,C37
tt6304046,C3
tt3741634,C32
tt0239195,C0
tt0368530,C0
tt1552112,C0
tt0098936,C0
tt5368542,C0
tt4189492,C0
tt0460627,C0
tt4307902,C0
tt2211129,C0
tt0435961,C32
tt1910272,C32
tt1821681,C0
tt0286486,C0
tt0368891,C7
tt2226342,C0
tt0410975,C0
tt2705602,C7
tt0974613,C7
tt0974613,C11
tt0103491,C0
tt0098948,C0
tt0791205,C32
tt1772379,C7
tt2720826,C21
tt2720826,C42
tt2720826,C11
tt0126158,C0
tt1999167,C32
tt0102065,C0
tt0116996,C0
tt0181739,C0
tt0811066,C8
tt4779326,C0
tt14252964,C18
tt1878870,C0
tt1878870,C49
tt0118571,C0
tt0118571,C4
tt0295178,C0
tt9310336,C20
tt9310336,C125
tt9310336,C108
tt0185183,C0
tt0462482,C31
tt0462482,C11
tt9251798,C52
tt9251798,C37
tt1826603,C35
tt2473602,C7
tt2473602,C11
tt10303430,C0
tt1843230,C35
tt0808151,C0
tt0808151,C16
tt0102744,C13
tt0102744,C11
tt0239195,C0
tt13318052,C31
tt12411074,C35
tt1648186,C7
tt3532628,C8
tt9820352,C7
tt1552211,C0
tt10627720,C21
tt9109976,C8
tt0893507,C51
tt6259380,C31
tt0098999,C8
tt1185420,C8
tt1185420,C11
tt0172684,C8
tt8771910,C0
tt8741648,C7
tt0456149,C58
tt9760504,C32
tt0461936,C8
tt8688814,C0
tt8688814,C42
tt1315981,C0
tt3565486,C51
tt8110640,C0
tt8110640,C42
tt3114390,C32
tt7605074,C21
tt7315484,C31
tt7315484,C4
tt5773986,C0
tt9425132,C0
tt0100029,C17
tt6595896,C32
tt2172584,C31
tt2172584,C4
tt2172584,C2
tt2172584,C11
tt0914376,C0
tt6892462,C18
tt7472352,C0
tt7472352,C9
tt2186933,C8
tt6522546,C8
tt2660806,C8
tt5197860,C61
tt3169770,C7
tt6214928,C0
tt7214842,C0
tt5294198,C0
tt5946128,C8
tt4631532,C15
tt2577192,C7
tt2577192,C95
tt2577192,C11
tt3544734,C31
tt3544734,C11
tt4273292,C7
tt4273292,C133
tt4273292,C84
tt4273292,C100
tt2094064,C22
tt2094064,C11
tt2094064,C2
tt3824412,C0
tt1582457,C0
tt1582457,C55
tt1582457,C48
tt1582457,C42
tt0478087,C0
tt5189894,C0
tt4048668,C0
tt8663516,C0
tt0190332,C88
tt0190332,C62
tt0190332,C11
tt0190332,C49
tt0119008,C0
tt1528406,C32
tt0369436,C41
tt0369436,C11
tt3352390,C41
tt0436339,C0
tt9906260,C34
tt9906260,C49
tt4419364,C0
tt4419364,C48
tt4647900,C7
tt0780567,C0
tt0780567,C4
tt5639446,C0
tt0107311,C8
tt0266697,C0
tt0266697,C95
tt3398976,C32
tt1613750,C7
tt1613750,C83
tt1613750,C37
tt1613750,C4
tt1613750,C3
tt0373074,C34
tt0373074,C49
tt0373074,C11
tt2467046,C0
tt2467046,C42
tt1219342,C0
tt1219342,C10
tt4919484,C0
tt4919484,C69
tt4919484,C76
tt5111874,C7
tt0457510,C0
tt0457510,C26
tt0368891,C0
tt0431308,C0
tt0457433,C0
tt6927152,C12
tt2140373,C0
tt2140373,C9
tt2140373,C10
tt0134084,C0
tt0108162,C0
tt2101441,C0
tt2101441,C2
tt0117765,C0
tt5253282,C0
tt8089526,C0
tt4030600,C0
tt4030600,C49
tt4210080,C31
tt0377818,C0
tt1058017,C0
tt1504320,C7
tt1504320,C11
tt1504320,C10
tt0097757,C0
tt0347436,C72
tt0347436,C11
tt1204342,C0
tt5126922,C181
tt5126922,C172
tt5126922,C182
tt5126922,C57
tt5126922,C11
tt1265990,C0
tt3848888,C8
tt0098936,C0
tt2100546,C0
tt0870154,C0
tt0111419,C53
tt0111419,C11
tt0111419,C42
tt0111419,C9
tt0111419,C37
tt0111419,C33
tt0111419,C54
tt0111419,C55
tt0952640,C0
tt0128890,C0
tt3228774,C0
tt3228774,C9
tt2252938,C0
tt2252938,C42
tt2252938,C48
tt0145487,C0
tt1053810,C0
tt1053810,C42
tt1571313,C0
tt0452598,C0
tt0452598,C42
tt5104604,C0
tt5104604,C4
tt5104604,C9
tt0273799,C0
tt0118617,C0
tt11681250,C0
tt2980706,C0
tt0104431,C0
tt0119718,C0
tt0113862,C0
tt4846340,C0
tt0120631,C0
tt1843230,C0
tt0109520,C0
tt1485796,C0
tt12607910,C0
tt1790809,C0
tt0112499,C0
tt0114924,C0
tt3089630,C0
tt4777008,C0
tt4777008,C9
tt4777008,C42
tt0107131,C0
tt0368891,C0
tt7146812,C0
tt1604171,C0
tt1294226,C0
tt0436339,C0
tt8336340,C0
tt0458290,C0
tt0094739,C0
tt0377770,C18
tt0377770,C11
tt0106611,C0
tt0147800,C0
tt0211181,C0
tt0211181,C9
tt1846442,C0
tt0113198,C0
tt0113198,C10
tt0113198,C2
tt0113198,C42
tt0230011,C0
tt0105958,C0
tt0294425,C0
tt0294425,C42
tt0997047,C0
tt1090750,C0
tt0101076,C0
tt0130623,C0
tt1127884,C0
tt0080861,C0
tt0076137,C0
tt0962726,C0
tt0107120,C0
tt0104437,C0
tt0116669,C0
tt1865769,C0
tt0401398,C0
tt0486761,C0
tt0945571,C0
tt0457993,C0
tt0273842,C0
tt0479113,C0
tt0114048,C0
tt0852863,C0
tt0852863,C65
tt0852863,C49
tt0852863,C113
tt5613056,C0
tt8980868,C0
tt0382932,C0
tt0265632,C0
tt0265632,C95
tt0078158,C0
tt4661600,C0
tt2140373,C0
tt2140373,C9
tt2140373,C10
tt0105417,C0
tt0083481,C0
tt0410696,C0
tt1013542,C0
tt0363771,C7
tt0363771,C11
tt0082474,C7
tt0082474,C11
tt0097757,C0
tt0079588,C7
tt0079588,C11
tt1204342,C0
tt0247638,C0
tt0247638,C9
tt0076618,C0
tt0304669,C0
tt0304669,C42
tt0075200,C0
tt0073760,C0
tt0114709,C0
tt0120363,C0
tt0296251,C0
tt0296251,C42
tt0283084,C0
tt0361089,C7
tt0361089,C11
tt1159961,C0
tt0096438,C0
tt3544734,C31
tt3544734,C11
tt0271271,C0
tt0271271,C122
tt0249677,C0
tt0249677,C10
tt1334106,C0
tt1334106,C9
tt1078912,C0
tt1078912,C42
