,tconst,ordering,nconst,category,job,characters
943273,tt0110216,10,nm0108629,editor,\N,\N
943274,tt0110216,1,nm0000216,actor,\N,"[""Dr. Alex Hesse""]"
943275,tt0110216,2,nm0000362,actor,\N,"[""Dr. Larry Arbogast""]"
943276,tt0110216,3,nm0000668,actress,\N,"[""Dr. Diana Reddin""]"
943277,tt0110216,4,nm0001449,actor,\N,"[""Noah Banes""]"
943278,tt0110216,5,nm0718645,director,\N,\N
943279,tt0110216,6,nm0905458,writer,written by,\N
943280,tt0110216,7,nm0175620,writer,written by,\N
943281,tt0110216,8,nm0006133,composer,\N,\N
943282,tt0110216,9,nm0004229,cinematographer,director of photography,\N
1016968,tt0119008,10,nm0425741,producer,producer,\N
1016969,tt0119008,1,nm0000199,actor,\N,"[""Lefty""]"
1016970,tt0119008,2,nm0000136,actor,\N,"[""Donnie""]"
1016971,tt0119008,3,nm0000514,actor,\N,"[""Sonny""]"
1016972,tt0119008,4,nm0456124,actor,\N,"[""Nicky""]"
1016973,tt0119008,5,nm0001565,director,\N,\N
1016974,tt0119008,6,nm0685587,writer,"book ""Donnie Brasco: My Undercover Life in the Mafia""",\N
1016975,tt0119008,7,nm0940361,writer,"book ""Donnie Brasco: My Undercover Life in the Mafia""",\N
1016976,tt0119008,8,nm0001921,writer,screenplay,\N
1016977,tt0119008,9,nm0226544,producer,producer,\N
1072121,tt0126158,1,nm0260008,actor,\N,"[""He-Man"",""Prince Adam"",""Beast Man""]"
1072122,tt0126158,2,nm0649178,actor,\N,"[""Man-At-Arms"",""Cringer"",""Skeletor""]"
1072123,tt0126158,3,nm0308881,actress,\N,"[""Teela"",""The Sorceress"",""Evil-Lyn""]"
1072124,tt0126158,4,nm0770617,actor,\N,"[""Orko"",""King Randor"",""Trap Jaw""]"
1072125,tt0126158,5,nm0485333,actress,\N,"[""Arcadian women"",""Background villagers"",""Celice's singing voice""]"
1072126,tt0126158,6,nm2071331,actress,\N,"[""Queen Marlena"",""Bran"",""Young lady""]"
1072127,tt0126158,7,nm0225191,actor,\N,"[""Garth"",""Lord Tyrin""]"
1087590,tt0128445,10,nm0005934,cinematographer,\N,\N
1087591,tt0128445,1,nm0005403,actor,\N,"[""Max Fischer""]"
1087592,tt0128445,2,nm0000195,actor,\N,"[""Herman Blume""]"
1087593,tt0128445,3,nm0931404,actress,\N,"[""Rosemary Cross""]"
1087594,tt0128445,4,nm0001025,actor,\N,"[""Bert Fischer""]"
1087595,tt0128445,5,nm0027572,director,\N,\N
1087596,tt0128445,6,nm0005562,writer,written by,\N
1087597,tt0128445,7,nm0578814,producer,producer,\N
1087598,tt0128445,8,nm0771490,producer,producer,\N
1087599,tt0128445,9,nm0006205,composer,\N,\N
1198243,tt0145487,10,nm0957205,producer,producer,\N
1198244,tt0145487,1,nm0001497,actor,\N,"[""Spider-Man"",""Peter Parker""]"
1198245,tt0145487,2,nm0000379,actress,\N,"[""Mary Jane Watson""]"
1198246,tt0145487,3,nm0000353,actor,\N,"[""Green Goblin"",""Norman Osborn""]"
1198247,tt0145487,4,nm0290556,actor,\N,"[""Harry Osborn""]"
1198248,tt0145487,5,nm0000600,director,\N,\N
1198249,tt0145487,6,nm0498278,writer,Marvel comic book,\N
1198250,tt0145487,7,nm0228492,writer,Marvel comic book,\N
1198251,tt0145487,8,nm0462895,writer,screenplay,\N
1198252,tt0145487,9,nm0117290,producer,producer,\N
1808521,tt0239195,10,nm3279915,self,\N,"[""Self - Timbira Tribe"",""Self - Kasama Tribe"",""Self - Villains Tribe""]"
1808522,tt0239195,1,nm0698251,self,\N,"[""Self - Host""]"
1808523,tt0239195,2,nm1442184,self,\N,"[""Self - Balboa Tribe"",""Self - Morgan Tribe"",""Self - Outcasts""]"
1808524,tt0239195,3,nm1441171,self,\N,"[""Self - Drake Tribe"",""Self - Balboa Tribe"",""Self""]"
1808525,tt0239195,4,nm1152785,self,\N,"[""Self - Mentor"",""Self - Chapera Tribe"",""Self - Maraamu Tribe""]"
1808526,tt0239195,5,nm0663789,writer,creator,\N
1808527,tt0239195,6,nm2368180,self,\N,"[""Self - Rarotonga Tribe"",""Self - Villains Tribe"",""Self - Edge of Extinction & The Jury""]"
1808528,tt0239195,7,nm1441225,self,\N,"[""Self - Mentor"",""Self - Villains Tribe"",""Self - Drake Tribe""]"
1808529,tt0239195,8,nm2366679,self,\N,"[""Self"",""Self - Aitutaki Tribe"",""Self - Savaii Tribe""]"
1808530,tt0239195,9,nm1440912,self,\N,"[""Self - Heroes Tribe"",""Self - Drake Tribe"",""Self""]"
2114716,tt0286486,10,nm0811027,actor,\N,"[""Ronnie Gardocki""]"
2114717,tt0286486,1,nm0004821,actor,\N,"[""Vic Mackey""]"
2114718,tt0286486,2,nm0413052,actor,\N,"[""Julien Lowe""]"
2114719,tt0286486,3,nm0439813,actor,\N,"[""Holland Wagenbach""]"
2114720,tt0286486,4,nm0001634,actress,\N,"[""Claudette Wyms""]"
2114721,tt0286486,5,nm0752841,writer,created by,\N
2114722,tt0286486,6,nm0324658,actor,\N,"[""Shane Vendrell""]"
2114723,tt0286486,7,nm0553468,actor,\N,"[""David Aceveda""]"
2114724,tt0286486,8,nm0219748,actress,\N,"[""Danni Sofer""]"
2114725,tt0286486,9,nm1108664,actress,\N,"[""Corrine Mackey""]"
2458604,tt0338096,10,nm0004744,producer,producer,\N
2458605,tt0338096,1,nm0526019,actor,\N,"[""Javier Suarez""]"
2458606,tt0338096,2,nm0304801,actress,\N,"[""Katey Miller""]"
2458607,tt0338096,3,nm0000688,actress,\N,"[""Jeannie Miller""]"
2458608,tt0338096,4,nm0805476,actor,\N,"[""Bert Miller""]"
2458609,tt0338096,5,nm0272704,director,\N,\N
2458610,tt0338096,6,nm1568308,writer,story,\N
2458611,tt0338096,7,nm0755969,writer,story,\N
2458612,tt0338096,8,nm0945026,writer,screenplay,\N
2458613,tt0338096,9,nm0002982,writer,screenplay,\N
2500437,tt0345061,10,nm0473696,cinematographer,director of photography,\N
2500438,tt0345061,1,nm0000209,actor,\N,"[""William Geld""]"
2500439,tt0345061,2,nm0608090,actress,\N,"[""Maria Gonzales""]"
2500440,tt0345061,3,nm0700875,actor,\N,"[""Bahkland""]"
2500441,tt0345061,4,nm0407033,actor,\N,"[""Driver""]"
2500442,tt0345061,5,nm0935863,director,\N,\N
2500443,tt0345061,6,nm0101639,writer,writer,\N
2500444,tt0345061,7,nm0247787,producer,producer,\N
