title_id,Type_id
tt8543952,TY7
tt2391224,TY7
tt0100046,TY7
tt1285309,TY7
tt1833116,TY17
tt1772379,TY7
tt0185102,TY7
tt0078087,TY9
tt6045466,TY3
tt0269483,TY3
tt4919484,TY7
tt6390668,TY7
tt0120710,TY9
tt2577192,TY7
tt9906260,TY17
tt3435532,TY7
tt0829176,TY17
tt0093036,TY9
tt0068575,TY7
tt1441109,TY3
tt8983164,TY3
tt5056196,TY17
tt0460627,TY7
tt5179598,TY17
tt7721800,TY7
tt0080436,TY17
tt2705602,TY17
tt10174244,TY17
tt2417650,TY3
tt5253282,TY3
tt0910905,TY7
tt0116671,TY9
tt7059844,TY17
tt8239946,TY9
tt0116059,TY3
tt5700176,TY7
tt5186714,TY7
tt5093026,TY17
tt1158939,TY17
tt9824114,TY17
tt5542802,TY7
tt9176086,TY7
tt1656177,TY17
tt6107548,TY3
tt2308260,TY17
tt8663516,TY7
tt9805612,TY7
tt1764625,TY16
tt1974419,TY9
tt0100029,TY17
tt3780500,TY7
tt10344410,TY7
tt3404140,TY7
tt0330843,TY7
tt2165735,TY17
tt1182937,TY7
tt0461936,TY17
tt8368406,TY8
tt1821681,TY4
tt9827834,TY7
tt12882620,TY7
tt11080108,TY3
tt1592873,TY3
tt0172684,TY3
tt0098999,TY17
tt10556338,TY7
tt8009744,TY7
tt12411074,TY7
tt2751074,TY17
tt11794642,TY17
tt2844798,TY7
tt3824412,TY3
tt0397150,TY3
tt4048668,TY17
tt3326366,TY0
tt0478087,TY7
tt2338424,TY3
tt4210080,TY3
tt0363276,TY9
tt2323964,TY3
tt1883180,TY3
tt1185420,TY3
tt1483324,TY3
tt2106550,TY7
tt0096378,TY17
tt1979918,TY17
tt11143108,TY4
tt0245407,TY3
tt0484111,TY3
tt0072431,TY3
tt0068805,TY7
tt0462482,TY9
tt0068361,TY3
tt0926063,TY3
tt0880648,TY7
tt0457510,TY3
tt1929308,TY9
tt4647900,TY0
tt7183578,TY17
tt1837562,TY3
tt1709143,TY9
tt1272886,TY3
tt6463320,TY7
tt0263757,TY3
tt0105698,TY17
tt1412386,TY3
tt0084732,TY7
tt0093822,TY3
tt0068284,TY9
tt1407084,TY7
tt8804580,TY17
tt9820352,TY3
tt0116669,TY3
tt1846442,TY7
tt0147800,TY3
tt1583421,TY17
tt0072562,TY3
tt0118571,TY17
tt11794642,TY13
tt0345061,TY7
tt0363276,TY9
tt0128445,TY3
tt1951264,TY17
tt2660806,TY3
tt2094064,TY3
tt0478087,TY7
tt1213012,TY16
tt0082782,TY9
tt0094006,TY3
tt2118624,TY3
tt12306692,TY7
tt5093026,TY17
tt5189894,TY3
tt1694020,TY3
tt3316796,TY17
tt8543952,TY7
tt7557108,TY9
tt0110216,TY3
tt6842770,TY3
tt0108872,TY7
tt1853739,TY9
tt7242816,TY13
tt5918982,TY9
tt0119008,TY13
tt1341188,TY3
tt3200980,TY7
tt4536768,TY17
tt0808151,TY19
tt2252938,TY16
tt6470478,TY7
tt3352390,TY9
tt7703924,TY13
tt6450804,TY17
tt2802850,TY13
tt0462499,TY17
tt1575539,TY7
tt8663516,TY9
tt0338096,TY7
tt0145487,TY17
tt2235759,TY3
tt1778304,TY9
tt9418572,TY3
tt2577192,TY7
tt4903242,TY3
tt6128254,TY3
tt7078658,TY17
tt0490668,TY17
tt2100546,TY17
tt1489887,TY3
tt6548228,TY7
tt7589524,TY7
tt6301452,TY9
tt6768578,TY13
tt6769280,TY3
tt0096542,TY17
tt7545524,TY7
tt5056196,TY7
tt6220752,TY9
tt5583512,TY17
tt6205872,TY17
tt0126158,TY17
tt2586120,TY13
tt0147800,TY3
tt1441109,TY3
tt8089526,TY9
tt3544734,TY16
tt4047038,TY7
tt2654620,TY9
tt0758745,TY7
tt5462326,TY9
tt3859272,TY3
tt6304046,TY7
tt0239195,TY17
tt0368530,TY7
tt1552112,TY13
tt0098936,TY13
tt5368542,TY7
tt4189492,TY3
tt0460627,TY13
tt2211129,TY3
tt0435961,TY17
tt1821681,TY7
tt0286486,TY13
tt0368891,TY13
tt2226342,TY7
tt0410975,TY7
tt2705602,TY17
tt1582457,TY13
tt0974613,TY7
tt0103491,TY7
tt0791205,TY17
tt1772379,TY9
tt2100546,TY2
tt0111419,TY2
tt14602326,TY3
tt0952640,TY2
tt0128890,TY2
tt3228774,TY13
tt14062858,TY2
tt2252938,TY3
tt0452598,TY3
tt0273799,TY3
tt0118617,TY2
tt11681250,TY3
tt0104431,TY3
tt0113862,TY7
tt0120631,TY7
tt0109520,TY3
tt0112499,TY3
tt0114924,TY3
tt1604171,TY3
tt0094739,TY3
tt0377770,TY2
tt0147800,TY3
tt1846442,TY3
tt0105958,TY3
tt0294425,TY3
tt0997047,TY3
tt1090750,TY3
tt0107120,TY3
tt0104437,TY3
tt0116669,TY3
tt1865769,TY3
tt0401398,TY2
tt0945571,TY2
tt0457993,TY2
tt0273842,TY7
tt0479113,TY2
tt8980868,TY2
tt0382932,TY2
tt0265632,TY2
tt0105417,TY3
tt0410696,TY3
tt1013542,TY3
tt0082474,TY3
tt0097757,TY2
tt1204342,TY3
tt0247638,TY3
tt0304669,TY3
tt0075200,TY3
tt0073760,TY3
tt1159961,TY0
tt3544734,TY3
tt0271271,TY3
